name,description,properties,usage_examples,edit_history,related_materials,category,subcategory,slug,header_image,category_id
Ac,A material with the chemical formula Ac.,"{""crystal_system"": ""trig"", ""space_group_symbol"": ""P3_121"", ""density"": 8.313273945401516, ""volume"": 136.02668597010646, ""band_gap"": 0.0, ""elastic_modulus"": null, ""bulk_modulus"": null, ""shear_modulus"": null, ""poisson_ratio"": null, ""dielectric_constant"": null}",[],"[{""date"": ""2024-08-09"", ""editor"": ""API"", ""changes"": ""Initial data fetch from Materials Project API.""}]",[],Inorganic,trig,mp-1183057,,5
Ac,A material with the chemical formula Ac.,"{""crystal_system"": ""trig"", ""space_group_symbol"": ""P3_121"", ""density"": 8.313273945401516, ""volume"": 136.02668597010646, ""band_gap"": 0.0, ""elastic_modulus"": null, ""bulk_modulus"": null, ""shear_modulus"": null, ""poisson_ratio"": null, ""dielectric_constant"": null}",[],"[{""date"": ""2024-08-09"", ""editor"": ""API"", ""changes"": ""Initial data fetch from Materials Project API.""}]",[],Inorganic,trig,mp-1183057,,5
